"hotel_id","period_scenario","source_scenario","excluded_platform","score_mode","n_platforms","n_reviews_scenario","reference_partition_projected","top_partition","top_probability","second_probability","normalized_entropy","matches_reference_structure"
"HWYNN001","2025","leave_out_tripcom","tripcom","ceiling",3,279,"agoda | booking_via_agoda+priceline","agoda+booking_via_agoda+priceline",0.402714999641191,0.376764170572732,0.810127196922274,FALSE
"HWYNN001","2025","leave_out_tripcom","tripcom","floor",3,279,"agoda | booking_via_agoda+priceline","agoda+priceline | booking_via_agoda",0.517375877081627,0.158329942911011,0.839985920858708,FALSE
"HWYNN001","2025","leave_out_tripcom","tripcom","round",3,279,"agoda | booking_via_agoda+priceline","agoda+priceline | booking_via_agoda",0.286846994732642,0.279181839432193,0.939025779414034,FALSE
"HWYNN001","pooled","all_sources",NA,"ceiling",4,939,"agoda+tripcom | booking_via_agoda+priceline","agoda+priceline | booking_via_agoda | tripcom",0.282312967873023,0.197668763662566,0.704582602326063,FALSE
"HWYNN001","pooled","all_sources",NA,"floor",4,939,"agoda+tripcom | booking_via_agoda+priceline","agoda+tripcom | booking_via_agoda+priceline",0.675694555326825,0.209144017776116,0.357600618447852,TRUE
"HWYNN001","pooled","all_sources",NA,"round",4,939,"agoda+tripcom | booking_via_agoda+priceline","agoda+tripcom | booking_via_agoda+priceline",0.558737528967301,0.17429398675555,0.486932632477651,TRUE
"HWYNN001","pooled","leave_out_agoda","agoda","ceiling",3,843,"booking_via_agoda+priceline | tripcom","booking_via_agoda+priceline | tripcom",0.601691762818403,0.210523031216775,0.588874299721609,TRUE
"HWYNN001","pooled","leave_out_agoda","agoda","floor",3,843,"booking_via_agoda+priceline | tripcom","booking_via_agoda+priceline | tripcom",0.750238341390066,0.232048289368452,0.388965540467911,TRUE
"HWYNN001","pooled","leave_out_agoda","agoda","round",3,843,"booking_via_agoda+priceline | tripcom","booking_via_agoda+priceline | tripcom",0.648615813857939,0.202250094773681,0.551639955296336,TRUE
"HWYNN001","pooled","leave_out_booking_via_agoda","booking_via_agoda","ceiling",3,429,"agoda+tripcom | priceline","agoda+priceline | tripcom",0.462125885731855,0.231645649489776,0.865741634797989,FALSE
"HWYNN001","pooled","leave_out_booking_via_agoda","booking_via_agoda","floor",3,429,"agoda+tripcom | priceline","agoda+tripcom | priceline",0.796274122545765,0.092461099672972,0.449810601099455,TRUE
"HWYNN001","pooled","leave_out_booking_via_agoda","booking_via_agoda","round",3,429,"agoda+tripcom | priceline","agoda+priceline+tripcom",0.451645675925793,0.401728620540098,0.721859236823707,FALSE
"HWYNN001","pooled","leave_out_priceline","priceline","ceiling",3,915,"agoda+tripcom | booking_via_agoda","agoda | booking_via_agoda | tripcom",0.49204804012835,0.460928935817045,0.527948135521607,FALSE
"HWYNN001","pooled","leave_out_priceline","priceline","floor",3,915,"agoda+tripcom | booking_via_agoda","agoda+tripcom | booking_via_agoda",0.907225451295597,0.0927745485276951,0.191936917034148,TRUE
"HWYNN001","pooled","leave_out_priceline","priceline","round",3,915,"agoda+tripcom | booking_via_agoda","agoda+tripcom | booking_via_agoda",0.90121150950993,0.0987860627123622,0.200343874330172,TRUE
"HWYNN001","pooled","leave_out_tripcom","tripcom","ceiling",3,630,"agoda | booking_via_agoda+priceline","agoda+priceline | booking_via_agoda",0.488810365744481,0.340326437360425,0.721081059582774,FALSE
"HWYNN001","pooled","leave_out_tripcom","tripcom","floor",3,630,"agoda | booking_via_agoda+priceline","agoda | booking_via_agoda+priceline",0.720815341436986,0.223411081336357,0.45469195959353,TRUE
"HWYNN001","pooled","leave_out_tripcom","tripcom","round",3,630,"agoda | booking_via_agoda+priceline","agoda | booking_via_agoda+priceline",0.560871743290107,0.264133593875095,0.609717719299247,TRUE
