"hotel_id","platform","year","n_reviews","mean_score","sd_score","median_score","min_score","max_score"
"HWYNN001","agoda",2024,70,9.22285714285714,1.30263628217699,9.8,3.2,10
"HWYNN001","booking_via_agoda",2024,268,8.47761194029851,2.45015146794782,10,1,10
"HWYNN001","priceline",2024,13,8.46153846153846,2.47033683989939,9,1,10
"HWYNN001","tripcom",2024,141,9.31347517730496,1.38456903342087,10,3.5,10
"HWYNN001","agoda",2025,26,8.96923076923077,1.9601569795849,10,2,10
"HWYNN001","booking_via_agoda",2025,242,8.67768595041322,2.22477515683585,10,1,10
"HWYNN001","priceline",2025,11,9.27272727272727,0.786245393106896,9,8,10
"HWYNN001","tripcom",2025,168,9.29107142857143,1.43292466538329,10,2,10
