"hotel_id","partition","n_clusters","log_model_evidence","log_bayes_factor_partition_vs_homogeneity","posterior_probability","scaled_integration_error","integration_mode_lambda","alpha","beta","model_prior","period_scenario","source_scenario","excluded_platform","score_mode","n_platforms","n_reviews_scenario"
"HWYNN001","agoda | booking_via_agoda+priceline+tripcom",2,-479.624720711414,10.684039712648,4.57477653214178e-16,1.12774179651907e-11,1.45733777476211,0.5,0,"uniform","2024","all_sources",NA,"floor",4,492
"HWYNN001","agoda | booking_via_agoda+tripcom | priceline",3,-480.685855965842,9.62290445821952,1.58315960099785e-16,4.87721059482598e-12,1.59579598491239,0.5,0,"uniform","2024","all_sources",NA,"floor",4,492
"HWYNN001","agoda+priceline | booking_via_agoda+tripcom",2,-484.815575505432,5.49318491862999,2.5468906037934e-18,1.30138089996529e-11,1.5650281424457,0.5,0,"uniform","2024","all_sources",NA,"floor",4,492
"HWYNN001","agoda+booking_via_agoda+priceline+tripcom",1,-490.308760424062,0,1.04797372228529e-20,0,NA,0.5,0,"uniform","2024","all_sources",NA,"floor",4,492
"HWYNN001","agoda+booking_via_agoda+tripcom | priceline",2,-491.167712711168,-0.858952287105808,4.43927607650036e-21,1.62143161199746e-11,1.96017236933621,0.5,0,"uniform","2024","all_sources",NA,"floor",4,492
"HWYNN001","agoda+tripcom | booking_via_agoda+priceline",2,-456.770784677731,28.9527184231882,0.71542181991592,1.68538112174672e-11,1.70604772598698,0.5,0,"uniform","2024","all_sources",NA,"round",4,492
"HWYNN001","agoda+tripcom | booking_via_agoda | priceline",3,-458.271146880031,27.4523562208884,0.159574376576748,8.65632526014904e-12,1.78989334269599,0.5,0,"uniform","2024","all_sources",NA,"round",4,492
"HWYNN001","agoda | booking_via_agoda+priceline | tripcom",3,-458.900037468328,26.8234656325915,0.0850823436232316,9.2523206147798e-11,1.52296269904627,0.5,0,"uniform","2024","all_sources",NA,"round",4,492
"HWYNN001","agoda | booking_via_agoda | priceline | tripcom",4,-460.390699913808,25.3328031871113,0.0191625353814203,5.4735269323894e-11,1.61851721183418,0.5,0,"uniform","2024","all_sources",NA,"round",4,492
"HWYNN001","agoda+priceline+tripcom | booking_via_agoda",2,-460.583158702158,25.1403443987612,0.0158077180072246,1.71970563124764e-11,1.73994869467814,0.5,0,"uniform","2024","all_sources",NA,"round",4,492
