"hotel_id","platform","month","n_reviews","mean_score","sd_score","median_score","min_score","max_score","year","month_number","has_reviews"
"HWYNN001","priceline",2024-04-01,2,9.5,0.707106781186548,9.5,9,10,2024,4,TRUE
"HWYNN001","priceline",2024-05-01,1,8,NA,8,8,8,2024,5,TRUE
"HWYNN001","priceline",2024-06-01,1,10,NA,10,10,10,2024,6,TRUE
"HWYNN001","priceline",2024-07-01,2,9,1.4142135623731,9,8,10,2024,7,TRUE
"HWYNN001","priceline",2024-08-01,0,NA,NA,NA,NA,NA,2024,8,FALSE
"HWYNN001","priceline",2024-09-01,2,8.5,0.707106781186548,8.5,8,9,2024,9,TRUE
"HWYNN001","priceline",2024-10-01,1,10,NA,10,10,10,2024,10,TRUE
"HWYNN001","priceline",2024-11-01,0,NA,NA,NA,NA,NA,2024,11,FALSE
"HWYNN001","priceline",2024-12-01,1,10,NA,10,10,10,2024,12,TRUE
"HWYNN001","priceline",2025-01-01,2,9.5,0.707106781186548,9.5,9,10,2025,1,TRUE
"HWYNN001","priceline",2025-02-01,0,NA,NA,NA,NA,NA,2025,2,FALSE
"HWYNN001","priceline",2025-03-01,1,9,NA,9,9,9,2025,3,TRUE
"HWYNN001","priceline",2025-04-01,2,9.5,0.707106781186548,9.5,9,10,2025,4,TRUE
"HWYNN001","priceline",2025-05-01,0,NA,NA,NA,NA,NA,2025,5,FALSE
"HWYNN001","priceline",2025-06-01,3,9.33333333333333,1.15470053837925,10,8,10,2025,6,TRUE
"HWYNN001","priceline",2025-07-01,0,NA,NA,NA,NA,NA,2025,7,FALSE
"HWYNN001","priceline",2025-08-01,1,8,NA,8,8,8,2025,8,TRUE
"HWYNN001","priceline",2025-09-01,0,NA,NA,NA,NA,NA,2025,9,FALSE
"HWYNN001","priceline",2025-10-01,0,NA,NA,NA,NA,NA,2025,10,FALSE
"HWYNN001","priceline",2025-11-01,2,9.5,0.707106781186548,9.5,9,10,2025,11,TRUE
"HWYNN001","priceline",2025-12-01,0,NA,NA,NA,NA,NA,2025,12,FALSE
"HWYNN001","tripcom",2024-01-01,12,9.29166666666667,1.28732162636109,10,6,10,2024,1,TRUE
"HWYNN001","tripcom",2024-02-01,12,9.70833333333333,0.541812334725416,10,8.5,10,2024,2,TRUE
"HWYNN001","tripcom",2024-03-01,7,9,2.43241991988774,10,3.5,10,2024,3,TRUE
"HWYNN001","tripcom",2024-04-01,11,8.90909090909091,1.67060141593053,10,5.5,10,2024,4,TRUE
"HWYNN001","tripcom",2024-05-01,11,9.63636363636364,0.896964578199972,10,7,10,2024,5,TRUE
"HWYNN001","tripcom",2024-06-01,8,9.9375,0.176776695296637,10,9.5,10,2024,6,TRUE
"HWYNN001","tripcom",2024-07-01,29,9.44827586206897,0.794454300427646,10,8,10,2024,7,TRUE
"HWYNN001","tripcom",2024-08-01,19,9.26315789473684,1.18284521684688,10,6,10,2024,8,TRUE
"HWYNN001","tripcom",2024-09-01,6,9.91666666666667,0.204124145231932,10,9.5,10,2024,9,TRUE
"HWYNN001","tripcom",2024-10-01,13,7.97692307692308,2.60421256369811,9.7,3.5,10,2024,10,TRUE
"HWYNN001","tripcom",2024-11-01,6,9.91666666666667,0.204124145231932,10,9.5,10,2024,11,TRUE
"HWYNN001","tripcom",2024-12-01,7,9.42857142857143,1.51185789203691,10,6,10,2024,12,TRUE
"HWYNN001","tripcom",2025-01-01,18,9.20555555555556,1.65083658728188,10,3.7,10,2025,1,TRUE
