"hotel_id","platform","n_reviews","n_unique_scores","minimum_observed_increment","n_fractional_scores","proportion_fractional_scores"
"HWYNN001","agoda",96,13,0.399999999999999,38,0.395833333333333
"HWYNN001","booking_via_agoda",510,10,1,0,0
"HWYNN001","priceline",24,5,1,0,0
"HWYNN001","tripcom",309,20,0.199999999999999,58,0.187702265372168
