"hotel_id","platform","month","n_reviews","mean_score","sd_score","median_score","min_score","max_score","year","month_number","has_reviews"
"HVEGAS001","booking_via_agoda",2025-12-01,55,8.29090909090909,2.70577384886692,10,1,10,2025,12,TRUE
"HVEGAS001","priceline",2024-01-01,0,NA,NA,NA,NA,NA,2024,1,FALSE
"HVEGAS001","priceline",2024-02-01,0,NA,NA,NA,NA,NA,2024,2,FALSE
"HVEGAS001","priceline",2024-03-01,0,NA,NA,NA,NA,NA,2024,3,FALSE
"HVEGAS001","priceline",2024-04-01,0,NA,NA,NA,NA,NA,2024,4,FALSE
"HVEGAS001","priceline",2024-05-01,0,NA,NA,NA,NA,NA,2024,5,FALSE
"HVEGAS001","priceline",2024-06-01,0,NA,NA,NA,NA,NA,2024,6,FALSE
"HVEGAS001","priceline",2024-07-01,0,NA,NA,NA,NA,NA,2024,7,FALSE
"HVEGAS001","priceline",2024-08-01,0,NA,NA,NA,NA,NA,2024,8,FALSE
"HVEGAS001","priceline",2024-09-01,0,NA,NA,NA,NA,NA,2024,9,FALSE
"HVEGAS001","priceline",2024-10-01,0,NA,NA,NA,NA,NA,2024,10,FALSE
"HVEGAS001","priceline",2024-11-01,0,NA,NA,NA,NA,NA,2024,11,FALSE
"HVEGAS001","priceline",2024-12-01,6,9,1.26491106406735,9.5,7,10,2024,12,TRUE
"HVEGAS001","priceline",2025-01-01,3,8.33333333333333,2.88675134594813,10,5,10,2025,1,TRUE
"HVEGAS001","priceline",2025-02-01,3,7,4.35889894354067,9,2,10,2025,2,TRUE
"HVEGAS001","priceline",2025-03-01,4,8.75,2.5,10,5,10,2025,3,TRUE
"HVEGAS001","priceline",2025-04-01,5,8.6,3.13049516849971,10,3,10,2025,4,TRUE
"HVEGAS001","priceline",2025-05-01,0,NA,NA,NA,NA,NA,2025,5,FALSE
"HVEGAS001","priceline",2025-06-01,4,7.25,4.27200187265877,9,1,10,2025,6,TRUE
"HVEGAS001","priceline",2025-07-01,6,9.33333333333333,0.816496580927726,9.5,8,10,2025,7,TRUE
"HVEGAS001","priceline",2025-08-01,4,7.75,3.86221007541882,9.5,2,10,2025,8,TRUE
"HVEGAS001","priceline",2025-09-01,8,9.125,1.1259916264596,9.5,7,10,2025,9,TRUE
"HVEGAS001","priceline",2025-10-01,1,9,NA,9,9,9,2025,10,TRUE
"HVEGAS001","priceline",2025-11-01,0,NA,NA,NA,NA,NA,2025,11,FALSE
"HVEGAS001","priceline",2025-12-01,2,8.5,2.12132034355964,8.5,7,10,2025,12,TRUE
"HVEGAS001","tripcom",2024-01-01,30,9.13333333333333,1.13664155431187,10,6,10,2024,1,TRUE
"HVEGAS001","tripcom",2024-02-01,12,8.70833333333333,1.63009109245372,9.5,5.5,10,2024,2,TRUE
"HVEGAS001","tripcom",2024-03-01,9,9.22222222222222,1.20185042515466,10,7,10,2024,3,TRUE
"HVEGAS001","tripcom",2024-04-01,15,9.34666666666667,0.961298724692402,10,7.5,10,2024,4,TRUE
"HVEGAS001","tripcom",2024-05-01,13,9.53846153846154,0.720576692122892,10,7.5,10,2024,5,TRUE
"HVEGAS001","tripcom",2024-06-01,13,9.34615384615385,1.21423184538991,10,6,10,2024,6,TRUE
"HVEGAS001","tripcom",2024-07-01,26,8.93846153846154,1.52291219000359,9.5,4,10,2024,7,TRUE
"HVEGAS001","tripcom",2024-08-01,32,9.63125,0.840290848264706,10,6,10,2024,8,TRUE
"HVEGAS001","tripcom",2024-09-01,14,9.6,0.616441400296898,10,8,10,2024,9,TRUE
"HVEGAS001","tripcom",2024-10-01,9,9.48888888888889,1.09709211605549,10,6.7,10,2024,10,TRUE
"HVEGAS001","tripcom",2024-11-01,9,9.94444444444444,0.166666666666667,10,9.5,10,2024,11,TRUE
"HVEGAS001","tripcom",2024-12-01,12,9.125,1.41622096375595,10,6,10,2024,12,TRUE
"HVEGAS001","tripcom",2025-01-01,10,8.3,2.46306042692149,9.5,3.5,10,2025,1,TRUE
"HVEGAS001","tripcom",2025-02-01,15,7.33333333333333,2.93784825696502,8,2,10,2025,2,TRUE
"HVEGAS001","tripcom",2025-03-01,10,8.77,2.05645325743135,9.75,4,10,2025,3,TRUE
"HVEGAS001","tripcom",2025-04-01,8,8.9375,1.59099025766973,9.75,5.5,10,2025,4,TRUE
"HVEGAS001","tripcom",2025-05-01,10,9.02,1.16122540638949,9.25,6.5,10,2025,5,TRUE
"HVEGAS001","tripcom",2025-06-01,10,8.57,2.2764738815399,9.75,3,10,2025,6,TRUE
"HVEGAS001","tripcom",2025-07-01,7,9.57142857142857,0.607492896293956,10,8.5,10,2025,7,TRUE
"HVEGAS001","tripcom",2025-08-01,18,9.28888888888889,1.57625352129621,10,4.7,10,2025,8,TRUE
"HVEGAS001","tripcom",2025-09-01,14,8.51428571428571,2.87879706257189,10,1.7,10,2025,9,TRUE
"HVEGAS001","tripcom",2025-10-01,20,9.36,0.947239757344853,10,6.5,10,2025,10,TRUE
"HVEGAS001","tripcom",2025-11-01,10,8.65,2.75932761536011,9.75,1,10,2025,11,TRUE
"HVEGAS001","tripcom",2025-12-01,20,8.785,1.64261505244726,10,4.5,10,2025,12,TRUE
