"hotel_id","period_scenario","source_scenario","excluded_platform","score_mode","n_platforms","n_reviews_scenario","reference_partition_projected","top_partition","top_probability","second_probability","normalized_entropy","matches_reference_structure"
"HVEGAS001","2025","leave_out_tripcom","tripcom","ceiling",3,731,"agoda | booking_via_agoda+priceline","agoda+booking_via_agoda+priceline",0.41489941023396,0.352740505653326,0.804499045920265,FALSE
"HVEGAS001","2025","leave_out_tripcom","tripcom","floor",3,731,"agoda | booking_via_agoda+priceline","agoda | booking_via_agoda+priceline",0.883504387237133,0.116386131555497,0.224150677944637,TRUE
"HVEGAS001","2025","leave_out_tripcom","tripcom","round",3,731,"agoda | booking_via_agoda+priceline","agoda | booking_via_agoda+priceline",0.862585047183849,0.116586402135797,0.285647137158976,TRUE
"HVEGAS001","pooled","all_sources",NA,"ceiling",4,1866,"agoda+tripcom | booking_via_agoda+priceline","agoda+booking_via_agoda+priceline | tripcom",0.406050225487081,0.245035349411961,0.541931738889877,FALSE
"HVEGAS001","pooled","all_sources",NA,"floor",4,1866,"agoda+tripcom | booking_via_agoda+priceline","agoda+tripcom | booking_via_agoda+priceline",0.813755797097465,0.11032930798626,0.236095314310157,TRUE
"HVEGAS001","pooled","all_sources",NA,"round",4,1866,"agoda+tripcom | booking_via_agoda+priceline","agoda+tripcom | booking_via_agoda+priceline",0.724812693919778,0.101787336664457,0.357761680561573,TRUE
"HVEGAS001","pooled","leave_out_agoda","agoda","ceiling",3,1543,"booking_via_agoda+priceline | tripcom","booking_via_agoda+priceline | tripcom",0.842160905940384,0.115427782452028,0.328018496088989,TRUE
"HVEGAS001","pooled","leave_out_agoda","agoda","floor",3,1543,"booking_via_agoda+priceline | tripcom","booking_via_agoda+priceline | tripcom",0.880402232766548,0.119097991901257,0.229495754569913,TRUE
"HVEGAS001","pooled","leave_out_agoda","agoda","round",3,1543,"booking_via_agoda+priceline | tripcom","booking_via_agoda+priceline | tripcom",0.856310891641447,0.117220339197853,0.298394051428805,TRUE
"HVEGAS001","pooled","leave_out_booking_via_agoda","booking_via_agoda","ceiling",3,715,"agoda+tripcom | priceline","agoda+priceline | tripcom",0.829355174811494,0.121839299663588,0.357151445149081,FALSE
"HVEGAS001","pooled","leave_out_booking_via_agoda","booking_via_agoda","floor",3,715,"agoda+tripcom | priceline","agoda+tripcom | priceline",0.917131462975624,0.0747246472397136,0.19714762535863,TRUE
"HVEGAS001","pooled","leave_out_booking_via_agoda","booking_via_agoda","round",3,715,"agoda+tripcom | priceline","agoda+tripcom | priceline",0.531838986620003,0.297998197405725,0.720504521357732,TRUE
"HVEGAS001","pooled","leave_out_priceline","priceline","ceiling",3,1820,"agoda+tripcom | booking_via_agoda","agoda+booking_via_agoda | tripcom",0.605272921242634,0.391757853999539,0.427660435607,FALSE
"HVEGAS001","pooled","leave_out_priceline","priceline","floor",3,1820,"agoda+tripcom | booking_via_agoda","agoda+tripcom | booking_via_agoda",0.925058957911415,0.0749410420886413,0.165421925170378,TRUE
"HVEGAS001","pooled","leave_out_priceline","priceline","round",3,1820,"agoda+tripcom | booking_via_agoda","agoda+tripcom | booking_via_agoda",0.876881703472707,0.123118222423205,0.231815972086053,TRUE
"HVEGAS001","pooled","leave_out_tripcom","tripcom","ceiling",3,1520,"agoda | booking_via_agoda+priceline","agoda+booking_via_agoda+priceline",0.483307076468816,0.226549041171576,0.789399833342848,FALSE
"HVEGAS001","pooled","leave_out_tripcom","tripcom","floor",3,1520,"agoda | booking_via_agoda+priceline","agoda | booking_via_agoda+priceline",0.878585124594418,0.119359248865133,0.236204735734899,TRUE
"HVEGAS001","pooled","leave_out_tripcom","tripcom","round",3,1520,"agoda | booking_via_agoda+priceline","agoda | booking_via_agoda+priceline",0.782506541934612,0.10999137536772,0.419070372752174,TRUE
