"hotel_id","partition","n_clusters","log_model_evidence","log_bayes_factor_partition_vs_homogeneity","posterior_probability","scaled_integration_error","integration_mode_lambda","alpha","beta","model_prior","period_scenario","source_scenario","excluded_platform","score_mode","n_platforms","n_reviews_scenario"
"HVEGAS001","agoda+booking_via_agoda | priceline | tripcom",3,-908.403498810241,45.6574259706148,2.96648547709387e-08,2.92558550932384e-12,1.52789002141527,0.5,0,"uniform","2024","all_sources",NA,"floor",4,983
"HVEGAS001","agoda+priceline | booking_via_agoda+tripcom",2,-949.353454632305,4.70747014855067,4.87418915236896e-26,1.73670336707115e-11,1.78691635971781,0.5,0,"uniform","2024","all_sources",NA,"floor",4,983
"HVEGAS001","agoda | booking_via_agoda+priceline+tripcom",2,-949.607194817599,4.45372996325693,3.78185101999498e-26,1.73686435063326e-11,1.78549329704862,0.5,0,"uniform","2024","all_sources",NA,"floor",4,983
"HVEGAS001","agoda | booking_via_agoda+tripcom | priceline",3,-950.460872763703,3.6000520171533,1.61048541169027e-26,5.18857474691469e-12,1.68640144043979,0.5,0,"uniform","2024","all_sources",NA,"floor",4,983
"HVEGAS001","agoda+booking_via_agoda+priceline+tripcom",1,-954.060924780856,0,4.40021674674166e-28,0,NA,0.5,0,"uniform","2024","all_sources",NA,"floor",4,983
"HVEGAS001","agoda+booking_via_agoda+tripcom | priceline",2,-955.270295018051,-1.20937023719534,1.3129592553773e-28,1.28530175720514e-11,1.79048293633968,0.5,0,"uniform","2024","all_sources",NA,"floor",4,983
"HVEGAS001","agoda+priceline | booking_via_agoda | tripcom",3,-899.884796369399,37.0174027867884,0.351158803367978,8.28729305597747e-12,1.69915184289305,0.5,0,"uniform","2024","all_sources",NA,"round",4,983
"HVEGAS001","agoda | booking_via_agoda | priceline+tripcom",3,-900.009573133573,36.8926260226148,0.309965744023702,8.4285972233929e-12,1.70506518686039,0.5,0,"uniform","2024","all_sources",NA,"round",4,983
"HVEGAS001","agoda | booking_via_agoda+priceline | tripcom",3,-900.47452466725,36.4276744889381,0.19470980186705,8.29928463030805e-12,1.69974653726691,0.5,0,"uniform","2024","all_sources",NA,"round",4,983
"HVEGAS001","agoda | booking_via_agoda | priceline | tripcom",4,-900.844501671061,36.0576974851267,0.134495837517251,8.16082232726913e-11,1.64592548725281,0.5,0,"uniform","2024","all_sources",NA,"round",4,983
"HVEGAS001","agoda+booking_via_agoda | priceline+tripcom",2,-904.308537484737,32.5936616714503,0.00421014646577491,1.67655104758435e-11,1.69378111876057,0.5,0,"uniform","2024","all_sources",NA,"round",4,983
"HVEGAS001","agoda+booking_via_agoda+priceline | tripcom",2,-904.595534228606,32.306664927582,0.00315977459131159,1.66489601324449e-11,1.6867736751531,0.5,0,"uniform","2024","all_sources",NA,"round",4,983
"HVEGAS001","agoda+booking_via_agoda | priceline | tripcom",3,-905.189531886088,31.7126672700999,0.00174456115288716,6.88190785840945e-12,1.61950820597762,0.5,0,"uniform","2024","all_sources",NA,"round",4,983
"HVEGAS001","agoda+priceline+tripcom | booking_via_agoda",2,-906.937307215569,29.9648919406183,0.000303834451368816,1.66637484500037e-11,1.87538145615883,0.5,0,"uniform","2024","all_sources",NA,"round",4,983
"HVEGAS001","agoda+tripcom | booking_via_agoda+priceline",2,-907.62592026954,29.2762788866479,0.000152607601559861,1.67031316363229e-11,1.8726796571823,0.5,0,"uniform","2024","all_sources",NA,"round",4,983
"HVEGAS001","agoda+tripcom | booking_via_agoda | priceline",3,-908.059792584474,28.8424065717138,9.88889611683011e-05,5.91506430690165e-12,1.74551174122068,0.5,0,"uniform","2024","all_sources",NA,"round",4,983
"HVEGAS001","agoda+booking_via_agoda+priceline+tripcom",1,-936.902199156188,0,2.94475925733396e-17,0,NA,0.5,0,"uniform","2024","all_sources",NA,"round",4,983
"HVEGAS001","agoda+priceline | booking_via_agoda+tripcom",2,-937.941707754116,-1.03950859792872,1.04135054284985e-17,1.59635887165471e-11,1.92206355534948,0.5,0,"uniform","2024","all_sources",NA,"round",4,983
"HVEGAS001","agoda+booking_via_agoda+tripcom | priceline",2,-938.02381964202,-1.12162048583252,9.59259718736987e-18,1.31002013470637e-11,1.82556374677203,0.5,0,"uniform","2024","all_sources",NA,"round",4,983
"HVEGAS001","agoda | booking_via_agoda+priceline+tripcom",2,-938.155380340784,-1.25318118459631,8.41007991168388e-18,1.59245233533583e-11,1.92415436370451,0.5,0,"uniform","2024","all_sources",NA,"round",4,983
"HVEGAS001","agoda | booking_via_agoda+tripcom | priceline",3,-938.972279598384,-2.07008044219674,3.71556858767707e-18,6.35770534606309e-12,1.77876303142668,0.5,0,"uniform","2024","all_sources",NA,"round",4,983
"HVEGAS001","booking_via_agoda | priceline+tripcom",2,-719.180265163998,33.8953024787945,0.505867738285324,1.72961844290367e-11,1.7532325289432,0.5,0,"uniform","2024","leave_out_agoda","agoda","ceiling",3,800
"HVEGAS001","booking_via_agoda+priceline | tripcom",2,-719.708496057314,33.3670715854785,0.298283493577366,1.72593045428091e-11,1.7463029281328,0.5,0,"uniform","2024","leave_out_agoda","agoda","ceiling",3,800
"HVEGAS001","booking_via_agoda | priceline | tripcom",3,-720.129197642065,32.9463700007274,0.195848768137358,5.05026771201854e-12,1.66060488043631,0.5,0,"uniform","2024","leave_out_agoda","agoda","ceiling",3,800
"HVEGAS001","booking_via_agoda+priceline+tripcom",1,-753.075567642793,0,9.62707054368298e-16,0,NA,0.5,0,"uniform","2024","leave_out_agoda","agoda","ceiling",3,800
"HVEGAS001","booking_via_agoda+tripcom | priceline",2,-754.136230802013,-1.06066315922021,3.33314338845877e-16,1.33287497671343e-11,1.84665972483799,0.5,0,"uniform","2024","leave_out_agoda","agoda","ceiling",3,800
"HVEGAS001","booking_via_agoda | priceline+tripcom",2,-706.824119519719,56.7373695147943,0.390613914836172,1.50305882683831e-11,1.6134971074399,0.5,0,"uniform","2024","leave_out_agoda","agoda","floor",3,800
"HVEGAS001","booking_via_agoda+priceline | tripcom",2,-706.886880842694,56.6746081918187,0.366851934747431,1.46833789998779e-11,1.60145180145192,0.5,0,"uniform","2024","leave_out_agoda","agoda","floor",3,800
"HVEGAS001","booking_via_agoda | priceline | tripcom",3,-707.300696634866,56.2607923996476,0.242534150416421,4.11885561011782e-12,1.56075375805481,0.5,0,"uniform","2024","leave_out_agoda","agoda","floor",3,800
"HVEGAS001","booking_via_agoda+priceline+tripcom",1,-763.561489034513,0,8.9334911625062e-26,0,NA,0.5,0,"uniform","2024","leave_out_agoda","agoda","floor",3,800
"HVEGAS001","booking_via_agoda+tripcom | priceline",2,-764.686559512715,-1.12507047820225,2.90007554871783e-26,1.30795043088281e-11,1.82418905591254,0.5,0,"uniform","2024","leave_out_agoda","agoda","floor",3,800
"HVEGAS001","booking_via_agoda | priceline+tripcom",2,-717.388894414536,37.8743513071556,0.489805673431536,1.71226458114529e-11,1.72674729229704,0.5,0,"uniform","2024","leave_out_agoda","agoda","round",3,800
"HVEGAS001","booking_via_agoda+priceline | tripcom",2,-717.853675812616,37.4095699090756,0.30773140152639,1.70390151507688e-11,1.71891005720879,0.5,0,"uniform","2024","leave_out_agoda","agoda","round",3,800
"HVEGAS001","booking_via_agoda | priceline | tripcom",3,-718.272346358574,36.9908993631171,0.202462925042021,5.00583664318401e-12,1.64194675024709,0.5,0,"uniform","2024","leave_out_agoda","agoda","round",3,800
"HVEGAS001","booking_via_agoda+priceline+tripcom",1,-755.263245721691,0,1.74342003662115e-17,0,NA,0.5,0,"uniform","2024","leave_out_agoda","agoda","round",3,800
"HVEGAS001","booking_via_agoda+tripcom | priceline",2,-756.337245803675,-1.07400008198397,5.95620619171144e-18,1.32764660651683e-11,1.84219223939345,0.5,0,"uniform","2024","leave_out_agoda","agoda","round",3,800
