"hotel_id","platform","transformed_score","observed_relative_frequency","fitted_poisson_probability","fitted_probability_above_10"
"HVEGAS001","agoda",0,0.560371517027864,0.331123732951011,2.7452885586317e-08
"HVEGAS001","agoda",1,0.157894736842105,0.365978862735328,2.7452885586317e-08
"HVEGAS001","agoda",2,0.120743034055728,0.202251476774787,2.7452885586317e-08
"HVEGAS001","agoda",3,0.0526315789473684,0.0745137019696583,2.7452885586317e-08
"HVEGAS001","agoda",4,0.0526315789473684,0.0205893123863529,2.7452885586317e-08
"HVEGAS001","agoda",5,0.0154798761609907,0.00455132168540433,2.7452885586317e-08
"HVEGAS001","agoda",6,0.0278637770897833,0.000838401363100799,2.7452885586317e-08
"HVEGAS001","agoda",7,0.00619195046439629,0.000132379162594863,2.7452885586317e-08
"HVEGAS001","agoda",8,0.00619195046439629,1.82892264111324e-05,2.7452885586317e-08
"HVEGAS001","agoda",9,0,2.24604534873556e-06,2.7452885586317e-08
"HVEGAS001","agoda",10,0,2.48247117491824e-07,2.7452885586317e-08
"HVEGAS001","booking_via_agoda",0,0.489139878366638,0.215228375317357,6.93452604494376e-07
"HVEGAS001","booking_via_agoda",1,0.165073848827107,0.330602752007895,6.93452604494376e-07
"HVEGAS001","booking_via_agoda",2,0.137271937445699,0.253912104930477,6.93452604494376e-07
"HVEGAS001","booking_via_agoda",3,0.0634231103388358,0.130007703885631,6.93452604494376e-07
"HVEGAS001","booking_via_agoda",4,0.0382276281494353,0.0499247655234134,6.93452604494376e-07
"HVEGAS001","booking_via_agoda",5,0.0304083405734144,0.0153374431703553,6.93452604494376e-07
"HVEGAS001","booking_via_agoda",6,0.0165073848827107,0.00392652758835624,6.93452604494376e-07
"HVEGAS001","booking_via_agoda",7,0.0121633362293658,0.000861623529379898,6.93452604494376e-07
"HVEGAS001","booking_via_agoda",8,0.0130321459600348,0.000165437706336192,6.93452604494376e-07
"HVEGAS001","booking_via_agoda",9,0.0347523892267593,2.82357239890325e-05,6.93452604494376e-07
"HVEGAS001","booking_via_agoda",10,0,4.33716420613463e-06,6.93452604494376e-07
"HVEGAS001","priceline",0,0.543478260869565,0.23304545953876,4.15295286625183e-07
"HVEGAS001","priceline",1,0.173913043478261,0.339435778023847,4.15295286625183e-07
"HVEGAS001","priceline",2,0.0869565217391304,0.247197794865193,4.15295286625183e-07
"HVEGAS001","priceline",3,0.0652173913043478,0.12001632069542,4.15295286625183e-07
"HVEGAS001","priceline",4,0,0.0437015950358322,4.15295286625183e-07
"HVEGAS001","priceline",5,0.0434782608695652,0.0127304646408729,4.15295286625183e-07
"HVEGAS001","priceline",6,0,0.00309036641644377,4.15295286625183e-07
"HVEGAS001","priceline",7,0.0217391304347826,0.000643026552489853,4.15295286625183e-07
"HVEGAS001","priceline",8,0.0434782608695652,0.000117072769067446,4.15295286625183e-07
"HVEGAS001","priceline",9,0.0217391304347826,1.89465592452147e-05,4.15295286625183e-07
"HVEGAS001","priceline",10,0,2.7596075422378e-06,4.15295286625183e-07
"HVEGAS001","tripcom",0,0.583815028901734,0.36575910445781,1.06492414075122e-08
"HVEGAS001","tripcom",1,0.158959537572254,0.367873318934445,1.06492414075122e-08
"HVEGAS001","tripcom",2,0.132947976878613,0.184999877152004,1.06492414075122e-08
"HVEGAS001","tripcom",3,0.0433526011560694,0.0620230802012499,1.06492414075122e-08
"HVEGAS001","tripcom",4,0.0260115606936416,0.015595398778927,1.06492414075122e-08
"HVEGAS001","tripcom",5,0.0202312138728324,0.00313710911853561,1.06492414075122e-08
"HVEGAS001","tripcom",6,0.0144508670520231,0.000525873782875911,1.06492414075122e-08
"HVEGAS001","tripcom",7,0.00578034682080925,7.55590736749864e-05,1.06492414075122e-08
"HVEGAS001","tripcom",8,0.0115606936416185,9.49947891578585e-06,1.06492414075122e-08
"HVEGAS001","tripcom",9,0.00289017341040462,1.06159879983734e-06,1.06492414075122e-08
"HVEGAS001","tripcom",10,0,1.06773520908496e-07,1.06492414075122e-08
